Illumina Inc. BeadStudio version 1.9.0.24624				
Normalization = none				
Array Content = HumanHT-12_V4_0_R2_15002873_B.bgx				
Error Model = Illumina custom				
DateTime = 02/24/2016 05:00 PM				
Local Settings = en-US				
				
PROBE_ID	KHYG1_ctrl_c.AVG_Signal	KHYG1_ctrl_c.Avg_NBEADS	KHYG1_ctrl_c.BEAD_STDERR	KHYG1_ctrl_c.Detection Pval
ILMN_2053178	14741.91	23	449.4544	0
ILMN_1704961	7196.85	11	409.5131	0
ILMN_1795325	99.24203	20	1.992389	0.4233766
ILMN_1749297	1028.336	18	34.23296	0
ILMN_2328280	835.4645	33	40.74372	0
ILMN_1657855	107.4217	17	4.556957	0.05324675
ILMN_1717900	93.19286	25	2.55835	0.9155844
ILMN_1796088	99.47452	16	3.884255	0.4103896
ILMN_1704078	96.3617	17	2.85877	0.687013
ILMN_2232177	95.98386	20	2.902195	0.7168831
ILMN_1654422	97.35261	16	2.786126	0.6
ILMN_1665691	103.1843	23	2.950556	0.1753247
ILMN_1725534	272.1733	20	11.37355	0
ILMN_1798254	352.5829	20	13.65958	0
ILMN_1792314	346.7263	27	7.581842	0
ILMN_1695821	284.4691	24	9.138391	0
ILMN_2388605	2078.053	16	137.5121	0
ILMN_1657153	1022.557	16	35.048	0
ILMN_2260392	110.8072	16	3.757874	0.02207792
ILMN_2346451	102.407	23	1.825068	0.2116883
ILMN_1787513	124.126	22	5.180266	0
ILMN_1680941	105.0217	18	5.230116	0.1155844
ILMN_1652594	208.4753	35	6.426025	0
ILMN_1697585	252.3079	24	10.41154	0
ILMN_1689162	128.7778	19	4.626729	0
ILMN_1815392	129.5312	16	6.215918	0
ILMN_3241416	95.09729	24	2.614795	0.7935065
ILMN_1760490	157.064	18	5.574419	0
ILMN_1786544	97.27056	13	3.446027	0.6025974
ILMN_1763916	97.67178	13	3.494709	0.5766234
ILMN_2243308	265.7662	31	7.466197	0
ILMN_1766723	102.6952	25	2.731414	0.2012987
ILMN_1689217	92.96832	17	2.837522	0.9233766
ILMN_1670912	94.04464	16	2.434841	0.8779221
ILMN_2152711	104.0097	19	3.090859	0.151948
ILMN_1668983	100.1351	33	2.813668	0.3415585
ILMN_1824337	95.18864	28	2.423004	0.7883117
ILMN_1807493	100.3184	24	3.86786	0.3311688
ILMN_3250257	104.1807	26	3.315625	0.1441558
ILMN_1683883	278.8969	23	13.81315	0
ILMN_1670193	112.284	26	2.779864	0.01038961
ILMN_2319825	610.4088	22	30.88624	0
ILMN_1694233	616.3641	20	21.82846	0
ILMN_1686432	139.4608	28	5.143019	0
ILMN_1697550	121.9474	21	5.150077	0.001298701
ILMN_2158705	168.039	13	6.940769	0
ILMN_1803686	778.7277	23	26.39466	0
ILMN_1745580	95.36658	26	2.658513	0.7779221
ILMN_1745108	99.56676	26	2.067212	0.4025974
ILMN_1725043	171.4889	19	8.274861	0
ILMN_2148360	114.4972	20	3.411366	0.006493506
ILMN_1718946	160.165	18	6.416555	0
ILMN_1711374	99.16017	15	3.183991	0.4311688
ILMN_1726266	102.0602	21	3.075168	0.2402597
ILMN_1705689	110.9281	8	3.652471	0.02207792
ILMN_1785393	90.03105	15	3.679268	0.9844156
ILMN_2384544	172.0151	18	8.200659	0
ILMN_1756920	753.3585	19	32.18291	0
ILMN_1799728	122.0362	24	4.47702	0.001298701
ILMN_1751500	106.2565	19	4.074653	0.06493507
ILMN_2121068	232.3881	22	6.747654	0
ILMN_1765779	114.0463	31	2.606321	0.006493506
ILMN_2201386	96.04993	21	1.316335	0.7090909
ILMN_1682225	93.91743	23	1.556228	0.8831169
ILMN_1788481	102.9368	24	2.905712	0.1909091
ILMN_1713751	96.84162	29	2.762169	0.6441559
ILMN_1662675	107.6043	24	3.738221	0.05324675
ILMN_1737629	92.89861	16	3.852607	0.9272727
ILMN_1812112	96.47823	28	3.454465	0.6766234
ILMN_3241313	98.74404	28	2.525523	0.4623377
ILMN_1675210	107.6618	29	3.908056	0.05324675
ILMN_1706302	100.0059	12	3.926301	0.3506494
ILMN_2351754	92.78947	20	3.204759	0.9298701
ILMN_2060086	93.52251	16	3.763846	0.9012987
ILMN_1664236	93.75409	27	2.614103	0.8922078
ILMN_1664631	109.9195	21	3.120443	0.03506494
ILMN_1802100	93.00699	21	2.505277	0.9194805
ILMN_2194158	135.2509	22	4.209758	0
ILMN_2100871	103.0059	28	3.0231	0.1857143
ILMN_1806841	105.7047	18	2.156367	0.08701298
ILMN_1798045	97.2385	21	4.630575	0.6038961
ILMN_2293012	95.38463	25	2.478533	0.7766234
ILMN_1703383	106.1661	18	4.707959	0.06623377
ILMN_1651657	96.07471	27	1.759475	0.7090909
ILMN_1671297	100.0202	17	2.967356	0.3493507
ILMN_1669486	92.59568	19	3.673445	0.9337662
ILMN_1795204	100.23	20	4.100901	0.3337662
ILMN_2223911	94.28127	29	2.353656	0.8558441
ILMN_1685531	96.52212	17	3.252491	0.6727273
ILMN_1764554	95.11675	22	2.60714	0.7909091
ILMN_2302214	91.76279	22	2.853528	0.9610389
ILMN_1783312	97.40298	18	3.329755	0.5948052
ILMN_2143210	101.3279	18	3.095234	0.2792208
ILMN_1750294	104.2228	28	3.763803	0.1428571
ILMN_1708348	144.9659	25	3.937348	0
ILMN_1727524	116.355	25	3.049069	0.003896104
ILMN_1716909	97.86785	25	3.385847	0.5519481
ILMN_2103107	95.40786	29	2.171657	0.7753247
ILMN_1673566	94.66557	25	2.415903	0.8246753
ILMN_1751168	104.8909	24	2.87165	0.1194805
ILMN_1660970	96.54121	15	3.028179	0.6714286
ILMN_1787386	92.32002	15	2.01823	0.9402598
ILMN_2286570	95.86472	32	2.393017	0.7246753
ILMN_2413732	99.2304	20	2.768441	0.425974
ILMN_1873412	101.1253	27	2.233588	0.2909091
ILMN_1676452	95.68437	26	2.195756	0.7428572
ILMN_2358134	94.73988	22	2.670783	0.8155844
ILMN_1683781	99.46575	19	3.324838	0.4116883
ILMN_1726247	97.49622	22	2.245509	0.5883117
ILMN_1682989	100.5582	18	2.337389	0.3168831
ILMN_1739872	110.231	20	5.908458	0.03116883
ILMN_1770152	93.36143	31	2.264047	0.9064935
ILMN_1656171	91.58074	20	3.376973	0.9649351
ILMN_1796628	96.85866	20	3.486293	0.6402597
ILMN_1811765	95.71289	21	2.554947	0.7428572
ILMN_1791795	97.53625	26	2.451893	0.587013
ILMN_1787908	97.23793	26	3.636722	0.6038961
ILMN_1651717	100.081	24	2.852945	0.3441558
ILMN_1703803	101.2033	21	3.440264	0.2857143
ILMN_2092933	121.3189	20	4.106808	0.001298701
ILMN_1681886	97.21652	25	2.405977	0.6038961
ILMN_1767362	100.6767	20	3.577979	0.3103896
ILMN_3251322	101.0573	15	3.666389	0.2922078
ILMN_2211790	100.4223	16	3.515377	0.3246753
ILMN_1672403	109.7654	11	9.423066	0.03636364
ILMN_1805543	95.57333	16	2.637038	0.7558442
ILMN_1706992	97.49433	26	2.88977	0.5883117
ILMN_1684919	95.10519	20	3.583439	0.7922078
ILMN_1727084	96.19993	24	2.867325	0.7012987
ILMN_1705250	93.94577	17	3.533429	0.8805195
ILMN_1722621	96.58723	28	2.609677	0.6662338
ILMN_1721495	99.44345	21	3.985726	0.4142857
ILMN_1798690	105.7535	16	6.520785	0.08571429
ILMN_1687035	106.3108	17	3.764357	0.06493507
ILMN_1777683	95.27765	34	2.388856	0.7857143
ILMN_1762294	95.19479	29	2.332282	0.7883117
ILMN_1793040	121.0778	22	4.050262	0.002597403
ILMN_3247424	107.9529	23	3.278842	0.04935065
ILMN_1763000	102.4309	23	3.543582	0.2103896
ILMN_1776777	870.5623	29	37.66831	0
ILMN_1706963	100.3646	19	3.37519	0.3272727
ILMN_2320964	317.4089	35	10.48126	0
ILMN_1697628	122.0322	35	3.685684	0.001298701
ILMN_2319326	262.7295	28	9.255244	0
ILMN_1657442	136.9309	22	3.730451	0
ILMN_1679797	720.7505	26	20.06351	0
ILMN_1749493	98.27258	20	3.206747	0.5155844
ILMN_1657139	229.586	32	9.595964	0
ILMN_3245693	113.2851	19	3.491636	0.007792208
