Illumina Inc. BeadStudio version 1.9.0.24624				
Normalization = none				
Array Content = HumanHT-12_V4_0_R2_15002873_B.bgx				
Error Model = Illumina custom				
DateTime = 02/24/2016 05:00 PM				
Local Settings = en-US				
				
PROBE_ID	KHYG1_si308_c.AVG_Signal	KHYG1_si308_c.Avg_NBEADS	KHYG1_si308_c.BEAD_STDERR	KHYG1_si308_c.Detection Pval
ILMN_1716237	99.1283	27	2.491403	0.2961039
ILMN_1764321	94.12226	17	2.27863	0.7077922
ILMN_2156699	96.3545	20	2.464618	0.5337662
ILMN_1784756	91.5288	27	2.126251	0.8883117
ILMN_1728883	94.25468	14	2.43379	0.6987013
ILMN_1740265	1833.517	22	83.88644	0
ILMN_1788078	96.14597	27	2.388015	0.5493507
ILMN_2252621	92.9216	26	2.049736	0.7857143
ILMN_2332250	784.7084	15	56.32859	0
ILMN_1719178	92.50725	18	1.396501	0.8181818
ILMN_1679600	150.8767	28	5.198562	0
ILMN_2367070	144.6493	19	7.016656	0
ILMN_1658995	180.8872	22	5.689547	0
ILMN_1750158	125.1969	18	5.364501	0
ILMN_1668839	93.83385	17	2.633892	0.7298701
ILMN_1765767	92.53235	21	3.659884	0.8168831
ILMN_1685703	159.1572	21	4.40118	0
ILMN_1743396	142.7695	15	6.542774	0
ILMN_1743680	94.84238	22	2.273439	0.6532468
ILMN_1669633	611.4084	22	19.17686	0
ILMN_2344956	3675.383	22	97.42308	0
ILMN_2104830	139.5861	17	7.198601	0
ILMN_2078599	92.78191	17	2.913958	0.8
ILMN_2234343	93.60499	19	4.767401	0.7402598
ILMN_1706598	141.9512	23	4.42907	0
ILMN_2306955	139.9749	25	5.252033	0
ILMN_1758323	94.61848	26	3.292989	0.6662338
ILMN_1728331	106.6768	18	4.007792	0.04675325
ILMN_2351906	106.427	22	2.91801	0.05064935
ILMN_1705637	99.41973	28	2.623362	0.2792208
ILMN_1784203	94.98553	22	2.040512	0.6428571
ILMN_1666690	104.7114	25	2.188416	0.07662338
ILMN_1654468	103.7402	27	2.576293	0.1025974
ILMN_2320277	103.4426	18	3.922861	0.1103896
ILMN_2227011	97.19016	23	2.321686	0.451948
ILMN_1730002	98.96162	23	2.634933	0.3103896
ILMN_3236756	113.3199	22	3.464804	0.005194805
ILMN_1716832	102.8731	21	3.130471	0.1246753
ILMN_1684585	150.4476	14	4.690177	0
ILMN_2360705	487.4196	31	16.77431	0
ILMN_1654414	107.9352	24	2.367336	0.03376623
ILMN_1666096	138.2207	26	3.627784	0
ILMN_2391458	99.26249	35	3.093747	0.2922078
ILMN_2285506	99.85716	17	2.993828	0.2532468
ILMN_1691714	85.56002	27	2.28188	0.9948052
ILMN_1683598	229.4595	20	8.25805	0
ILMN_2370882	146.4194	26	4.836182	0
ILMN_2273911	108.7247	15	4.238369	0.02727273
ILMN_1807914	90.44824	17	1.940566	0.9246753
ILMN_1678517	109.7442	21	2.872586	0.02207792
ILMN_1705247	337.4042	31	9.403914	0
ILMN_1737418	94.81724	19	1.695192	0.6545454
ILMN_2278242	94.78912	21	2.932259	0.6558442
ILMN_1730025	86.65424	21	2.986453	0.9896104
ILMN_2378555	95.46701	23	2.196519	0.6064935
ILMN_1661434	98.30672	19	3.496859	0.3597403
ILMN_1809623	91.72012	21	2.636786	0.8779221
ILMN_1657592	98.49611	34	2.623875	0.3480519
ILMN_1765912	103.5391	22	3.353699	0.1077922
ILMN_1746128	99.69225	17	3.31471	0.2623377
ILMN_1685952	103.5205	15	5.268124	0.1090909
ILMN_1662738	110.058	18	2.646456	0.02207792
ILMN_1771084	116.4191	22	3.231664	0.002597403
ILMN_1791923	93.85912	27	2.151523	0.7272727
ILMN_1801698	93.28216	17	3.231032	0.761039
ILMN_1766966	98.39294	17	2.374444	0.3584416
ILMN_2070792	92.87289	13	4.335097	0.7909091
ILMN_1752269	142.7324	11	4.815488	0
ILMN_1697510	98.55289	21	3.780653	0.3428572
ILMN_2254962	92.95593	26	2.001129	0.7857143
ILMN_2336595	103.0798	29	2.464964	0.1194805
ILMN_1714197	112.4461	17	4.238387	0.009090909
ILMN_1742859	101.8975	22	2.921814	0.1571429
ILMN_1659885	97.9196	14	2.16034	0.3948052
ILMN_2125869	96.84771	30	2.734813	0.4883117
ILMN_1671703	233.2224	24	6.969622	0
ILMN_2152131	10619.92	27	337.228	0
ILMN_1777296	9290.708	22	466.3229	0
ILMN_2038777	6595.169	21	115.8515	0
ILMN_3246895	99.73524	25	3.311171	0.261039
ILMN_1658660	99.15983	23	2.354564	0.2961039
ILMN_1829919	98.4402	29	3.078259	0.3532467
ILMN_2053178	13112.32	22	512.9617	0
ILMN_1704961	7276.225	22	237.2068	0
ILMN_1795325	94.51813	27	2.524753	0.6766234
ILMN_1749297	869.5953	17	40.26242	0
ILMN_2328280	728.1012	28	33.96485	0
ILMN_1657855	100.8291	30	2.322213	0.2012987
ILMN_1717900	90.47041	25	2.43009	0.9246753
ILMN_1796088	96.47491	19	2.701704	0.5233766
ILMN_1704078	94.55142	19	2.532654	0.6727273
ILMN_2232177	92.46292	22	2.792664	0.8246753
ILMN_1654422	90.82902	12	3.583215	0.9090909
ILMN_1665691	99.51609	24	3.07723	0.2766234
ILMN_1725534	210.0233	16	9.972488	0
ILMN_1798254	336.3014	14	19.73428	0
ILMN_1792314	278.5017	19	7.402361	0
ILMN_1695821	280.8534	28	6.975628	0
ILMN_2388605	1846.566	19	115.068	0
ILMN_1657153	726.2821	27	32.87943	0
ILMN_2260392	119.1385	16	4.962273	0
ILMN_2346451	101.3924	34	2.483933	0.1805195
ILMN_1787513	116.7946	26	3.123623	0.002597403
ILMN_1680941	97.26973	16	3.061788	0.4402598
ILMN_1652594	177.5455	20	5.253179	0
ILMN_1697585	248.2155	21	8.057716	0
ILMN_1689162	117.991	19	2.84042	0.001298701
ILMN_1815392	122.3669	15	4.04378	0
ILMN_3241416	95.42602	21	3.319221	0.6077922
ILMN_1760490	152.6485	25	4.945916	0
ILMN_1786544	99.57961	27	2.631555	0.2714286
ILMN_1763916	103.777	24	3.692298	0.1012987
ILMN_2243308	269.4633	18	10.90862	0
ILMN_1766723	97.38243	25	2.663688	0.4298701
ILMN_1689217	95.11603	19	3.377984	0.6311688
ILMN_1670912	91.869	23	2.298964	0.8675325
ILMN_2152711	99.73831	18	3.750735	0.261039
ILMN_1668983	81.88172	12	3.397007	1
ILMN_1824337	90.22137	21	2.022373	0.9350649
ILMN_1807493	96.72952	24	2.230015	0.5038961
