Illumina Inc. BeadStudio version 1.9.0.24624				
Normalization = none				
Array Content = HumanHT-12_V4_0_R2_15002873_B.bgx				
Error Model = Illumina custom				
DateTime = 02/24/2016 05:00 PM				
Local Settings = en-US				
				
PROBE_ID	KHYG1_si308_a.AVG_Signal	KHYG1_si308_a.Avg_NBEADS	KHYG1_si308_a.BEAD_STDERR	KHYG1_si308_a.Detection Pval
ILMN_2156699	94.25816	21	2.611936	0.8532467
ILMN_1784756	92.21616	18	3.147079	0.9467533
ILMN_1728883	99.78448	28	3.360879	0.4038961
ILMN_1740265	1689.841	26	67.61958	0
ILMN_1788078	98.94659	16	3.343497	0.4675325
ILMN_2252621	99.83559	31	2.087219	0.4012987
ILMN_2332250	687.9878	14	27.04798	0
ILMN_1719178	92.2011	14	3.318481	0.9467533
ILMN_1679600	148.4491	21	4.842543	0
ILMN_2367070	131.3258	12	3.211585	0.001298701
ILMN_1658995	200.1575	26	5.818257	0
ILMN_1750158	121.5381	18	4.240967	0.002597403
ILMN_1668839	96.04504	31	2.196948	0.7064935
ILMN_1765767	96.93633	22	2.329465	0.6337662
ILMN_1685703	151.036	22	4.624452	0
ILMN_1743396	172.1259	17	9.964914	0
ILMN_1743680	92.84117	31	2.165676	0.9246753
ILMN_1669633	632.132	25	32.86117	0
ILMN_2344956	3276.195	14	138.061	0
ILMN_2104830	153.6134	20	4.669144	0
ILMN_2078599	89.90712	22	2.974601	0.9896104
ILMN_2234343	102.7184	22	3.827403	0.2038961
ILMN_1706598	149.885	29	3.957615	0
ILMN_2306955	163.8241	28	5.661346	0
ILMN_1758323	97.32381	21	2.989547	0.6038961
ILMN_1728331	109.0633	20	4.104825	0.02987013
ILMN_2351906	103.2955	18	2.619626	0.1714286
ILMN_1705637	99.80554	33	2.358188	0.4038961
ILMN_1784203	106.0763	17	3.830231	0.07792208
ILMN_1666690	116.5685	31	3.216745	0.005194805
ILMN_1654468	114.7228	14	5.031691	0.007792208
ILMN_2320277	98.31831	28	2.220876	0.5103896
ILMN_2227011	104.0321	25	3.324984	0.1376623
ILMN_1730002	97.8409	23	3.642205	0.5597402
ILMN_3236756	131.0792	23	4.460895	0.001298701
ILMN_1716832	102.1804	28	2.625992	0.2337662
ILMN_1684585	181.8369	27	5.77395	0
ILMN_2360705	566.2025	22	12.9311	0
ILMN_1654414	112.6808	18	2.210032	0.01818182
ILMN_1666096	143.6598	27	4.252283	0
ILMN_2391458	106.1751	20	3.145512	0.07792208
ILMN_2285506	97.68964	18	3.880261	0.5727273
ILMN_1691714	88.03214	27	2.051471	0.9961039
ILMN_1683598	326.8399	23	12.1277	0
ILMN_2370882	170.5591	25	5.325958	0
ILMN_2273911	105.5299	11	6.154515	0.08961039
ILMN_1807914	95.87978	20	4.176655	0.725974
ILMN_1678517	109.8605	30	2.121117	0.02207792
ILMN_1705247	398.8884	25	11.63386	0
ILMN_1737418	95.06061	10	3.753378	0.7922078
ILMN_2278242	98.47243	20	2.79984	0.5025974
ILMN_1730025	100.1255	23	3.442058	0.374026
ILMN_2378555	99.88942	19	3.023573	0.3987013
ILMN_1661434	93.70346	22	3.101988	0.8753247
ILMN_1809623	97.82765	21	1.651591	0.561039
ILMN_1657592	95.41084	19	3.039601	0.7662337
ILMN_1765912	95.00444	22	2.751623	0.7961039
ILMN_1746128	104.0923	28	2.127605	0.1350649
ILMN_1685952	115.7191	21	3.987154	0.006493506
ILMN_1662738	113.8539	17	2.698453	0.01038961
ILMN_1771084	112.6881	20	3.455551	0.01818182
ILMN_1791923	92.433	16	1.522787	0.938961
ILMN_1801698	98.76328	16	4.311677	0.4753247
ILMN_1766966	97.27393	25	2.629723	0.6090909
ILMN_2070792	100.6873	27	2.610776	0.3311688
ILMN_1752269	156.1887	11	5.261243	0
ILMN_1697510	101.7769	16	3.763041	0.2623377
ILMN_2254962	95.29948	22	1.668032	0.7766234
ILMN_2336595	108.5307	23	3.413049	0.03896104
ILMN_1714197	111.612	22	4.173774	0.01948052
ILMN_1742859	106.4136	22	5.388944	0.07272727
ILMN_1659885	103.4793	27	4.237291	0.1662338
ILMN_2125869	98.58331	21	2.149508	0.4922078
ILMN_1671703	258.1066	23	5.727896	0
ILMN_2152131	11631.65	19	264.9686	0
ILMN_1777296	9668.633	21	306.6988	0
ILMN_2038777	6893.229	27	169.2478	0
ILMN_3246895	101.3271	27	3.707493	0.2974026
ILMN_1658660	94.54224	23	1.72933	0.8311688
ILMN_1829919	99.96265	23	2.96327	0.3909091
ILMN_2053178	13918.07	17	427.6524	0
ILMN_1704961	7365.936	23	228.3003	0
ILMN_1795325	95.13376	26	2.386259	0.7883117
ILMN_1749297	1123.933	24	40.9484	0
ILMN_2328280	876.7704	24	44.4499	0
ILMN_1657855	108.0297	32	3.11554	0.05194805
ILMN_1717900	93.76736	29	2.919694	0.8727273
ILMN_1796088	100.4758	15	5.337807	0.3467532
ILMN_1704078	95.0819	19	2.913971	0.7909091
ILMN_2232177	89.414	22	2.148434	0.9922078
ILMN_1654422	97.67702	15	2.410527	0.574026
ILMN_1665691	98.69836	22	2.552711	0.4831169
ILMN_1725534	232.4575	18	6.188373	0
ILMN_1798254	394.9043	18	15.55947	0
ILMN_1792314	345.9439	21	12.77963	0
ILMN_1695821	287.5556	27	7.892462	0
ILMN_2388605	2137.049	24	95.1618	0
ILMN_1657153	961.339	14	36.41851	0
ILMN_2260392	112.4588	22	2.554479	0.01818182
ILMN_2346451	98.30971	19	3.112922	0.5116883
ILMN_1787513	120.5546	30	2.721146	0.002597403
ILMN_1680941	102.952	26	2.670917	0.1948052
ILMN_1652594	199.6782	23	6.641782	0
ILMN_1697585	281.7736	35	6.85613	0
ILMN_1689162	123.8318	18	4.874612	0.001298701
ILMN_1815392	134.945	21	5.279164	0
ILMN_3241416	103.0742	22	3.932951	0.1883117
ILMN_1760490	179.4158	15	4.232984	0
ILMN_1786544	97.5026	23	1.639783	0.5857143
ILMN_1763916	104.4107	22	3.502874	0.1272727
ILMN_2243308	302.1765	25	8.921229	0
ILMN_1766723	98.19699	29	2.53632	0.5272727
ILMN_1689217	101.8694	24	2.952825	0.2532468
ILMN_1670912	99.06499	21	2.927815	0.4532467
ILMN_2152711	105.0799	25	3.700964	0.1
ILMN_1668983	97.50967	20	2.382045	0.5831169
ILMN_1824337	92.23531	16	2.738482	0.9441559
ILMN_1807493	88.02217	21	1.925133	0.9961039
ILMN_3250257	91.68826	16	1.853084	0.9662338
ILMN_1683883	302.7152	21	15.46546	0
ILMN_1670193	107.4954	24	3.962295	0.06103896
ILMN_2319825	597.8831	21	22.33333	0
ILMN_1694233	653.5545	25	21.08321	0
ILMN_1686432	139.3047	24	7.084162	0
ILMN_1697550	110.6344	29	3.164608	0.02077922
ILMN_2158705	158.6274	20	4.436003	0
ILMN_1803686	514.4495	33	11.58647	0
ILMN_1745580	95.37904	23	2.803579	0.7688312
ILMN_1745108	95.46854	24	2.516038	0.7597402
ILMN_1725043	146.8891	33	2.9576	0
ILMN_2148360	120.4348	28	3.3588	0.002597403
ILMN_1718946	182.1649	18	7.101088	0
ILMN_1711374	101.2776	13	2.795766	0.3
ILMN_1726266	100.9478	28	3.382646	0.3220779
ILMN_1705689	98.81014	12	2.392937	0.474026
ILMN_1785393	98.01749	20	2.865631	0.5441558
ILMN_2384544	154.6441	23	4.919498	0
ILMN_1756920	718.7037	22	18.47685	0
ILMN_1799728	123.1951	27	3.030053	0.001298701
ILMN_1751500	104.2098	15	3.480131	0.1311688
ILMN_2121068	214.1442	21	4.755401	0
ILMN_1765779	109.5636	22	2.590815	0.02467532
ILMN_2201386	94.20657	24	2.436205	0.8545455
ILMN_1682225	94.63202	24	3.537119	0.8285714
ILMN_1788481	100.5937	31	1.988407	0.3376623
ILMN_1713751	96.74626	29	2.613282	0.6571429
ILMN_1662675	100.7299	16	2.681789	0.3298701
ILMN_1737629	95.11057	29	3.103646	0.7909091
ILMN_1812112	97.522	20	3.488486	0.5818182
ILMN_3241313	99.39734	28	2.946292	0.4285714
ILMN_1675210	109.2036	31	2.41115	0.02467532
ILMN_1706302	95.83447	18	3.813749	0.7311688
ILMN_2351754	96.96758	20	2.815233	0.6311688
ILMN_2060086	91.93768	21	2.730239	0.9532468
ILMN_1664236	94.4371	18	2.900542	0.8376623
ILMN_1664631	98.75719	16	2.067576	0.4753247
ILMN_1802100	98.01209	22	2.077893	0.5454546
ILMN_2194158	124.2135	20	2.755616	0.001298701
ILMN_2100871	94.46055	23	2.532746	0.8363636
ILMN_1806841	104.1573	18	3.272078	0.1311688
ILMN_1798045	97.22733	18	2.561489	0.6103896
ILMN_2293012	104.3625	15	5.972618	0.1285714
ILMN_1703383	104.5882	24	2.511691	0.1220779
ILMN_1651657	98.08566	16	2.472545	0.5376623
ILMN_1671297	103.145	19	3.275708	0.1831169
ILMN_1669486	99.05324	14	3.252693	0.4532467
ILMN_1795204	93.41892	11	1.621346	0.8935065
ILMN_2223911	98.87548	19	2.519587	0.4727273
ILMN_1685531	90.40389	16	2.602739	0.9831169
ILMN_1764554	92.26485	22	2.501974	0.9415584
ILMN_2302214	94.42535	29	2.217632	0.8376623
ILMN_1783312	105.1909	27	1.966092	0.0961039
ILMN_2143210	97.38438	21	3.600528	0.5974026
ILMN_1750294	102.6849	23	2.920132	0.2064935
ILMN_1708348	155.1655	18	5.807963	0
ILMN_1727524	118.1743	19	4.05709	0.005194805
ILMN_1716909	96.94682	16	3.445105	0.6337662
ILMN_2103107	102.1558	29	3.312735	0.2363636
ILMN_1673566	97.40715	25	1.865155	0.5961039
ILMN_1751168	102.339	16	3.879357	0.2233766
ILMN_1660970	97.50974	19	3.219599	0.5831169
ILMN_1787386	96.75549	18	3.358917	0.6571429
ILMN_2286570	92.82697	30	2.059544	0.925974
ILMN_2413732	101.5782	12	1.786732	0.2805195
ILMN_1873412	100.9589	17	3.973798	0.3207792
ILMN_1676452	96.52703	30	2.406394	0.674026
ILMN_2358134	99.40895	30	2.465538	0.4285714
