Illumina Inc. BeadStudio version 1.9.0.24624				
Normalization = none				
Array Content = HumanHT-12_V4_0_R2_15002873_B.bgx				
Error Model = Illumina custom				
DateTime = 02/24/2016 05:00 PM				
Local Settings = en-US				
				
PROBE_ID	KHYG1_si308_b.AVG_Signal	KHYG1_si308_b.Avg_NBEADS	KHYG1_si308_b.BEAD_STDERR	KHYG1_si308_b.Detection Pval
ILMN_2368728	94.4384	19	4.648819	0.6987013
ILMN_2394897	97.76089	23	2.37745	0.425974
ILMN_2394902	100.5851	23	3.629614	0.2350649
ILMN_2287535	100.0792	25	3.177534	0.2571429
ILMN_1750295	91.24402	15	2.029067	0.9077922
ILMN_3187680	110.5444	21	3.744092	0.01428571
ILMN_3242266	99.64722	25	2.979155	0.287013
ILMN_1780630	102.3284	29	2.565753	0.1493506
ILMN_1716480	326.8528	23	13.40893	0
ILMN_1715192	93.99211	22	2.553208	0.7415584
ILMN_2339410	92.06374	15	3.909	0.8805195
ILMN_1779984	102.5493	22	4.0875	0.1402597
ILMN_1667018	102.3562	24	1.521863	0.1493506
ILMN_1773243	95.5938	28	1.82376	0.5909091
ILMN_3241214	102.2493	32	2.706283	0.1545455
ILMN_3235340	141.3386	26	5.235346	0
ILMN_1761000	99.27323	27	2.57421	0.3103896
ILMN_3237774	108.1684	23	3.648198	0.02857143
ILMN_2333219	94.64638	32	2.062447	0.6792208
ILMN_1780485	89.9427	17	3.919375	0.9623377
ILMN_1735471	98.97442	12	2.34109	0.325974
ILMN_1699636	215.1482	20	7.371866	0
ILMN_2371379	824.5331	26	18.3397	0
ILMN_1749014	540.2995	20	24.1352	0
ILMN_1727091	93.66129	16	2.080477	0.7649351
ILMN_1771348	1265.436	17	39.87573	0
ILMN_2134039	837.0637	24	30.66196	0
ILMN_1750800	395.186	22	11.87878	0
ILMN_1654861	266.7017	10	13.37052	0
ILMN_2121389	99.42743	21	3.464214	0.3
ILMN_1715543	91.35918	25	2.38239	0.9012987
ILMN_1739594	101.6699	25	3.901899	0.1818182
ILMN_2353978	94.84348	16	2.773984	0.6597403
ILMN_1785474	101.692	20	3.713152	0.1818182
ILMN_2188959	92.58698	23	2.336402	0.8597403
ILMN_1716237	100.0073	26	2.894171	0.261039
ILMN_1764321	98.00025	17	3.137814	0.4038961
ILMN_2156699	97.28318	24	1.728067	0.4571429
ILMN_1784756	89.51553	21	2.03166	0.9701298
ILMN_1728883	98.30727	28	2.646134	0.3753247
ILMN_1740265	1725.159	18	70.46317	0
ILMN_1788078	97.64502	15	3.839226	0.4298701
ILMN_2252621	96.14991	26	2.410275	0.548052
ILMN_2332250	620.6495	16	43.42789	0
ILMN_1719178	90.63606	25	2.362875	0.9363636
ILMN_1679600	154.0237	22	5.840485	0
ILMN_2367070	131.6022	19	3.059205	0
ILMN_1658995	182.7076	23	7.568389	0
ILMN_1750158	127.8215	23	3.31628	0
ILMN_1668839	93.14464	25	2.284458	0.8155844
ILMN_1765767	91.59113	21	3.40496	0.8974026
ILMN_1685703	163.4801	17	7.344521	0
ILMN_1743396	152.3624	15	6.819538	0
ILMN_1743680	104.5438	29	3.626762	0.08701298
ILMN_1669633	651.8163	21	21.50659	0
ILMN_2344956	3927.465	26	111.031	0
ILMN_2104830	150.6411	17	3.833297	0
ILMN_2078599	94.50549	23	2.531478	0.6922078
ILMN_2234343	96.81615	27	3.281878	0.4896104
ILMN_1706598	148.9575	17	4.854181	0
ILMN_2306955	157.0842	27	4.273512	0
ILMN_1758323	99.98967	18	4.259337	0.261039
ILMN_1728331	108.0684	13	2.561972	0.02857143
ILMN_2351906	103.1727	38	2.049616	0.125974
ILMN_1705637	99.10586	24	3.534989	0.3142857
ILMN_1784203	99.52967	26	2.449897	0.2922078
ILMN_1666690	115.2898	19	3.982727	0.002597403
ILMN_1654468	100.8366	19	3.102713	0.2207792
ILMN_2320277	98.4921	21	2.67798	0.3571429
ILMN_2227011	102.5833	23	2.880751	0.1402597
ILMN_1730002	95.25974	25	2.300651	0.6207792
ILMN_3236756	127.1732	25	2.670079	0
