Illumina Inc. BeadStudio version 1.9.0.24624				
Normalization = none				
Array Content = HumanHT-12_V4_0_R2_15002873_B.bgx				
Error Model = Illumina custom				
DateTime = 02/24/2016 05:00 PM				
Local Settings = en-US				
				
PROBE_ID	KHYG1_ctrl_a.AVG_Signal	KHYG1_ctrl_a.Avg_NBEADS	KHYG1_ctrl_a.BEAD_STDERR	KHYG1_ctrl_a.Detection Pval
ILMN_1738921	251.9861	18	7.206655	0
ILMN_1660199	1336.459	34	57.30884	0
ILMN_2331636	250.5239	35	5.74533	0
ILMN_1772123	228.7111	20	10.41092	0
ILMN_1667641	97.57482	23	2.417468	0.312987
ILMN_1763852	99.50574	21	2.476144	0.1987013
ILMN_1687303	126.3242	9	2.123314	0
ILMN_1761058	124.2679	23	3.268995	0
ILMN_2225595	176.9177	17	6.275866	0
ILMN_1724699	119.7719	12	4.75533	0
ILMN_1775579	385.8757	16	9.488699	0
ILMN_1660890	91.40309	27	2.897733	0.8298701
ILMN_1778104	459.7718	33	19.76651	0
ILMN_2053679	679.9056	21	27.96192	0
ILMN_1795104	104.7956	27	2.492599	0.05194805
ILMN_1740920	94.10337	21	1.884144	0.6168831
ILMN_2263466	120.9141	11	5.020173	0
ILMN_1806408	1229.675	18	48.08584	0
ILMN_2352009	288.8824	12	16.63042	0
ILMN_1693148	93.25663	24	2.688806	0.6883117
ILMN_1808395	373.9793	24	10.87761	0
ILMN_3236270	129.9363	19	5.020654	0
ILMN_1743847	92.96686	14	2.85916	0.7142857
ILMN_1800008	1117.633	24	56.58897	0
ILMN_2133799	110.9881	15	5.808117	0.01038961
ILMN_1708672	1279.377	21	75.5556	0
ILMN_1665945	295.5501	21	10.0763	0
ILMN_1676288	107.2187	21	3.684432	0.03246753
ILMN_1693250	105.8146	25	3.639733	0.04155844
ILMN_2295980	103.6354	26	3.446884	0.06233766
ILMN_2410362	109.8142	15	3.652523	0.01428571
ILMN_1684271	221.1537	20	7.042411	0
ILMN_1726388	99.86649	25	2.903554	0.1779221
ILMN_2106002	96.89119	29	2.356936	0.3701299
ILMN_1779685	89.63991	14	1.777683	0.9298701
ILMN_1665932	95.31825	21	2.048791	0.5103896
ILMN_1769694	90.48693	29	1.989712	0.8896104
ILMN_1727251	92.65224	27	2.032138	0.7415584
ILMN_1734479	102.819	25	2.620949	0.08181818
ILMN_2368728	89.23364	21	2.789762	0.9415584
ILMN_2394897	93.09264	15	4.346108	0.7051948
ILMN_2394902	96.58587	18	3.784178	0.4012987
ILMN_2287535	93.50021	21	2.099771	0.6649351
ILMN_1750295	95.28655	18	3.63472	0.5155844
ILMN_3187680	120.0287	25	3.308315	0
ILMN_3242266	95.14079	13	3.002161	0.5246753
ILMN_1780630	94.61426	15	2.218144	0.5649351
ILMN_1716480	307.4641	28	8.955855	0
ILMN_1715192	98.72134	23	3.553237	0.2402597
ILMN_2339410	92.96531	23	3.357038	0.7142857
ILMN_1779984	93.70135	23	1.913335	0.651948
ILMN_1667018	94.96555	15	3.272086	0.5298702
ILMN_1773243	100.5567	24	3.275631	0.1532468
ILMN_3241214	88.14393	27	2.30548	0.9688312
ILMN_3235340	146.0684	16	7.982631	0
ILMN_1761000	95.94356	16	4.036366	0.4532467
ILMN_3237774	106.4325	24	3.421587	0.03766234
ILMN_2333219	89.81227	27	2.00972	0.925974
ILMN_1780485	98.96556	21	2.304789	0.2246753
ILMN_1735471	100.1216	23	1.644926	0.1727273
ILMN_1699636	210.1876	27	6.695278	0
