Illumina Inc. BeadStudio version 1.9.0.24624				
Normalization = none				
Array Content = HumanHT-12_V4_0_R2_15002873_B.bgx				
Error Model = Illumina custom				
DateTime = 02/24/2016 05:00 PM				
Local Settings = en-US				
				
PROBE_ID	KHYG1_ctrl_b.AVG_Signal	KHYG1_ctrl_b.Avg_NBEADS	KHYG1_ctrl_b.BEAD_STDERR	KHYG1_ctrl_b.Detection Pval
ILMN_2103107	87.14298	17	2.608156	0.987013
ILMN_1673566	102.4366	25	2.125809	0.1142857
ILMN_1751168	97.26751	18	4.516751	0.374026
ILMN_1660970	93.43464	26	2.101173	0.7350649
ILMN_1787386	93.86741	19	2.316788	0.7064935
ILMN_2286570	91.81948	21	2.333838	0.8506494
ILMN_2413732	96.28866	23	2.633656	0.4649351
ILMN_1873412	99.46357	24	1.987784	0.2311688
ILMN_1676452	93.91417	21	2.193563	0.7012987
ILMN_2358134	94.27099	23	1.726148	0.674026
ILMN_1683781	95.30851	14	2.548061	0.5701299
ILMN_1726247	100.9187	17	2.735738	0.1636364
ILMN_1682989	101.6865	26	3.558252	0.1350649
ILMN_1739872	95.94926	27	2.812724	0.5090909
ILMN_1770152	92.75364	15	2.599865	0.7844156
ILMN_1656171	96.21531	22	2.808333	0.4766234
ILMN_1796628	96.3068	19	3.078202	0.4610389
ILMN_1811765	92.28609	20	2.045404	0.8168831
ILMN_1791795	94.58985	19	2.33157	0.6376624
ILMN_1787908	93.61751	31	2.317158	0.7220779
ILMN_1651717	92.45188	19	3.180918	0.8051948
ILMN_1703803	96.05447	9	7.113279	0.4961039
ILMN_2092933	111.3462	25	4.413645	0.01168831
ILMN_1681886	94.63477	20	3.031469	0.6311688
ILMN_1767362	99.86382	19	3.410477	0.2077922
ILMN_3251322	95.83731	17	1.889071	0.5181818
ILMN_2211790	98.49954	6	5.470279	0.2844156
ILMN_1672403	93.83099	18	2.922229	0.7090909
ILMN_1805543	96.96552	25	3.012777	0.4
ILMN_1706992	96.5512	16	4.520065	0.4428571
ILMN_1684919	90.70893	14	4.17944	0.9025974
ILMN_1727084	100.3876	22	2.449497	0.187013
ILMN_1705250	96.5871	20	2.684002	0.4363636
ILMN_1722621	94.97788	25	2.302235	0.6038961
ILMN_1721495	93.56911	20	3.788698	0.7272727
ILMN_1798690	107.1821	23	3.339515	0.02987013
ILMN_1687035	101.9245	20	2.027301	0.1246753
ILMN_1777683	95.34783	22	3.08776	0.5675325
ILMN_1762294	92.03835	24	2.17893	0.8350649
ILMN_1793040	111.2183	24	3.288142	0.01168831
ILMN_3247424	99.36199	30	2.26674	0.2311688
ILMN_1763000	95.03753	29	2.101796	0.5987013
ILMN_1776777	742.8858	22	20.72548	0
ILMN_1706963	87.79865	18	1.3187	0.9818182
ILMN_2320964	270.4003	18	16.22657	0
ILMN_1697628	107.0095	24	2.624353	0.03376623
ILMN_2319326	224.7553	19	9.15352	0
ILMN_1657442	128.0875	21	2.497573	0
ILMN_1679797	690.7935	22	21.46385	0
ILMN_1749493	97.13269	18	3.815375	0.3857143
ILMN_1657139	221.8312	23	9.165192	0
